#1
double humidity(120,102) # temperature depending on mole fraction of water if hydrogen is saturated; first column: pressure [bar], second column: temperature for mole fraction of ... [mole H2O per mole H2+H2O], and so on 
1.36672	0.00	264.19	264.25	264.30	264.36	264.43	264.51	264.58	264.67	264.76	264.87	264.98	265.10	265.23	265.37	265.52	265.69	265.87	266.07	266.28	266.51	266.76	267.03	267.33	267.65	267.99	268.36	268.77	269.20	269.67	270.17	270.72	271.31	271.94	272.62	273.34	274.12	274.95	275.84	276.78	277.79	278.85	279.97	281.15	282.38	283.67	285.00	286.37	287.76	289.16	290.55	291.90	293.18	294.43	295.70	296.98	298.24	299.56	300.92	302.32	303.76	305.26	306.83	308.47	310.15	311.79	313.32	314.81	316.34	317.88	319.43	320.98	322.51	323.99	325.50	327.01	328.53	330.10	331.73	333.39	335.10	336.85	338.65	340.51	342.45	344.45	346.51	348.65	350.86	353.17	355.56	358.05	360.63	363.28	366.03	368.88	371.82	374.83	377.93	381.10	384.34
1.41499	0.00	264.27	264.32	264.38	264.45	264.52	264.59	264.67	264.76	264.86	264.96	265.08	265.20	265.34	265.48	265.64	265.81	266.00	266.20	266.42	266.66	266.92	267.20	267.50	267.83	268.19	268.57	268.99	269.43	269.92	270.44	271.00	271.60	272.25	272.95	273.69	274.49	275.34	276.25	277.22	278.25	279.33	280.47	281.67	282.93	284.23	285.57	286.95	288.35	289.74	291.12	292.44	293.70	294.96	296.23	297.50	298.79	300.12	301.50	302.92	304.38	305.91	307.51	309.17	310.85	312.45	313.94	315.45	316.99	318.54	320.10	321.64	323.15	324.64	326.15	327.67	329.21	330.81	332.45	334.14	335.87	337.65	339.47	341.37	343.34	345.37	347.47	349.64	351.90	354.25	356.69	359.22	361.84	364.53	367.34	370.23	373.20	376.26	379.40	382.60	385.88
1.46497	0.00	264.23	264.28	264.35	264.41	264.48	264.56	264.65	264.74	264.84	264.95	265.07	265.19	265.33	265.48	265.65	265.83	266.02	266.23	266.46	266.70	266.97	267.26	267.57	267.91	268.28	268.68	269.10	269.57	270.06	270.60	271.18	271.80	272.47	273.19	273.96	274.78	275.65	276.59	277.58	278.63	279.74	280.91	282.13	283.41	284.73	286.09	287.48	288.88	290.27	291.64	292.94	294.19	295.46	296.74	298.00	299.31	300.67	302.07	303.50	304.99	306.55	308.18	309.86	311.51	313.07	314.56	316.09	317.63	319.19	320.74	322.28	323.77	325.28	326.80	328.32	329.89	331.51	333.17	334.88	336.64	338.43	340.29	342.22	344.22	346.28	348.41	350.63	352.92	355.31	357.80	360.38	363.02	365.77	368.61	371.54	374.56	377.66	380.83	384.07	387.37
1.51672	0.00	264.30	264.36	264.42	264.49	264.56	264.64	264.73	264.83	264.93	265.04	265.16	265.30	265.44	265.60	265.77	265.95	266.15	266.37	266.60	266.85	267.13	267.43	267.75	268.10	268.48	268.89	269.33	269.80	270.32	270.87	271.46	272.10	272.79	273.53	274.31	275.16	276.05	277.01	278.02	279.10	280.23	281.42	282.66	283.96	285.29	286.66	288.06	289.46	290.84	292.18	293.45	294.71	295.98	297.25	298.53	299.86	301.23	302.64	304.09	305.61	307.20	308.85	310.54	312.16	313.66	315.17	316.71	318.27	319.82	321.37	322.89	324.38	325.90	327.42	328.95	330.55	332.19	333.87	335.60	337.37	339.19	341.08	343.04	345.06	347.16	349.32	351.57	353.90	356.33	358.86	361.47	364.15	366.94	369.82	372.79	375.84	378.97	382.17	385.44	388.76
1.57029	0.00	264.42	264.48	264.55	264.62	264.69	264.78	264.87	264.97	265.07	265.19	265.31	265.45	265.60	265.76	265.93	266.12	266.33	266.55	266.79	267.06	267.34	267.65	267.98	268.34	268.73	269.15	269.60	270.09	270.62	271.19	271.80	272.45	273.16	273.91	274.72	275.58	276.50	277.48	278.51	279.61	280.76	281.97	283.23	284.54	285.89	287.27	288.66	290.05	291.42	292.73	293.98	295.24	296.51	297.78	299.07	300.42	301.81	303.24	304.71	306.26	307.87	309.54	311.21	312.79	314.28	315.80	317.35	318.90	320.46	322.00	323.50	325.01	326.53	328.05	329.61	331.22	332.88	334.58	336.33	338.12	339.97	341.89	343.88	345.93	348.05	350.25	352.54	354.91	357.39	359.95	362.59	365.32	368.15	371.07	374.07	377.16	380.32	383.55	386.85	390.19
1.62576	0.00	264.40	264.46	264.53	264.60	264.68	264.77	264.86	264.96	265.07	265.19	265.32	265.46	265.62	265.78	265.96	266.16	266.37	266.60	266.86	267.13	267.42	267.74	268.08	268.45	268.86	269.29	269.76	270.26	270.81	271.39	272.03	272.70	273.43	274.21	275.04	275.92	276.87	277.87	278.93	280.05	281.23	282.46	283.74	285.07	286.43	287.82	289.22	290.61	291.95	293.23	294.49	295.76	297.03	298.30	299.62	300.99	302.40	303.84	305.34	306.92	308.56	310.25	311.88	313.41	314.91	316.44	318.00	319.56	321.11	322.64	324.13	325.64	327.17	328.70	330.28	331.92	333.59	335.32	337.08	338.89	340.78	342.73	344.74	346.83	348.98	351.21	353.54	355.96	358.47	361.07	363.74	366.52	369.38	372.34	375.38	378.50	381.69	384.95	388.27	391.64
1.68318	0.00	264.30	264.37	264.44	264.51	264.60	264.69	264.78	264.89	265.00	265.13	265.26	265.41	265.57	265.74	265.93	266.14	266.36	266.60	266.86	267.14	267.44	267.77	268.13	268.52	268.93	269.39	269.87	270.39	270.96	271.57	272.22	272.92	273.67	274.47	275.33	276.24	277.22	278.25	279.34	280.49	281.69	282.95	284.26	285.61	286.99	288.39	289.79	291.17	292.50	293.75	295.02	296.30	297.57	298.86	300.20	301.58	303.01	304.47	306.01	307.62	309.28	310.96	312.55	314.05	315.57	317.11	318.67	320.22	321.77	323.28	324.77	326.29	327.81	329.36	330.97	332.62	334.31	336.05	337.84	339.67	341.58	343.56	345.60	347.71	349.89	352.17	354.53	356.98	359.53	362.16	364.87	367.68	370.59	373.58	376.65	379.80	383.02	386.30	389.64	393.02
1.74263	0.00	264.34	264.41	264.48	264.56	264.65	264.74	264.84	264.95	265.07	265.20	265.34	265.49	265.66	265.83	266.03	266.24	266.47	266.72	266.99	267.28	267.59	267.93	268.30	268.70	269.13	269.60	270.10	270.64	271.22	271.85	272.52	273.24	274.01	274.84	275.72	276.66	277.65	278.71	279.82	281.00	282.22	283.50	284.83	286.19	287.58	288.98	290.38	291.74	293.03	294.29	295.56	296.83	298.10	299.42	300.78	302.18	303.62	305.11	306.68	308.31	310.00	311.65	313.19	314.68	316.21	317.77	319.32	320.88	322.41	323.90	325.41	326.94	328.46	330.04	331.66	333.33	335.04	336.80	338.60	340.47	342.41	344.42	346.49	348.63	350.85	353.16	355.56	358.05	360.64	363.29	366.05	368.91	371.85	374.87	377.98	381.16	384.41	387.71	391.07	394.47
1.80419	0.00	264.47	264.54	264.61	264.69	264.78	264.88	264.98	265.09	265.22	265.35	265.49	265.65	265.82	266.01	266.21	266.42	266.66	266.91	267.19	267.49	267.81	268.16	268.54	268.95	269.39	269.87	270.39	270.94	271.54	272.18	272.87	273.60	274.39	275.24	276.14	277.10	278.11	279.19	280.32	281.51	282.76	284.05	285.39	286.76	288.15	289.55	290.93	292.27	293.53	294.79	296.07	297.34	298.62	299.95	301.33	302.75	304.21	305.73	307.33	308.98	310.67	312.28	313.79	315.30	316.84	318.40	319.96	321.52	323.04	324.53	326.05	327.58	329.13	330.73	332.38	334.07	335.81	337.59	339.42	341.33	343.30	345.34	347.44	349.62	351.88	354.23	356.68	359.23	361.85	364.55	367.36	370.26	373.24	376.31	379.46	382.67	385.95	389.29	392.68	396.10
1.86791	0.00	264.56	264.63	264.71	264.79	264.88	264.98	265.09	265.20	265.33	265.46	265.61	265.77	265.95	266.14	266.35	266.57	266.81	267.07	267.36	267.67	268.00	268.36	268.75	269.17	269.62	270.11	270.64	271.21	271.82	272.48	273.19	273.94	274.75	275.62	276.54	277.51	278.55	279.65	280.80	282.01	283.27	284.58	285.93	287.31	288.71	290.10	291.46	292.77	294.02	295.29	296.57	297.84	299.14	300.49	301.89	303.32	304.80	306.36	307.98	309.65	311.32	312.89	314.39	315.92	317.48	319.04	320.60	322.15	323.65	325.17	326.70	328.23	329.80	331.43	333.10	334.82	336.58	338.38	340.25	342.19	344.19	346.27	348.40	350.62	352.93	355.33	357.83	360.41	363.06	365.83	368.68	371.62	374.65	377.76	380.94	384.20	387.51	390.88	394.29	397.73
