sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
295200;0.898502519;0;0.65284936;0.25;0;1;04.01.2018 10:00
298800;0.917578378;0;0.654947429;0.25;0;1;04.01.2018 11:00
302400;0.904826136;0;0.657057893;0.25;1;0;04.01.2018 12:00
306000;0.896866583;0;0.658117806;0.25;1;0;04.01.2018 13:00
309600;0.892090709;0;0.658117806;0.25;1;0;04.01.2018 14:00
313200;0.953512844;0;0.657057893;0.25;1;0;04.01.2018 15:00
316800;0.991657855;0;0.658117806;0.25;1;0;04.01.2018 16:00
320400;0.991293029;0;0.653896852;0.25;1;0;04.01.2018 17:00
324000;0.999584673;0;0.653896852;0.25;0;1;04.01.2018 18:00
327600;0.997740696;0;0.654947429;0.25;0;1;04.01.2018 19:00
331200;0.996410107;0;0.65284936;0.25;1;0;04.01.2018 20:00
334800;0.992558738;0;0.65284936;0.25;1;0;04.01.2018 21:00
338400;0.990568041;0;0.651804941;0.25;1;0;04.01.2018 22:00
342000;0.990216047;0;0.647657724;0.25;1;0;04.01.2018 23:00
345600;0.988299595;0;0.645602212;0.25;1;0;05.01.2018 00:00
349200;0.987809428;0;0.643558628;0.25;1;0;05.01.2018 01:00
352800;0.987486355;0;0.6405154;0.25;1;0;05.01.2018 02:00
356400;0.987536372;0;0.636498584;0.25;1;0;05.01.2018 03:00
360000;0.988097767;0;0.634507452;0.25;1;0;05.01.2018 03:59
363600;0.992324199;0;0.631542081;0.25;0;1;05.01.2018 04:59
367200;0.998897432;0;0.629579247;0.25;0;1;05.01.2018 05:59
370800;0.996722062;0;0.625686952;0.25;0;1;05.01.2018 06:59
374400;0.998669028;0;0.624720765;0.25;0;1;05.01.2018 07:59
378000;0.947168635;0;0.623757309;0.25;0;1;05.01.2018 08:59
381600;0.868875056;0;0.624720765;0.25;0;1;05.01.2018 09:59
385200;1;0.5;0.626655883;0.25;0;1;05.01.2018 10:59
388800;0.985616501;0.5;0.630559264;0.25;1;0;05.01.2018 11:59
392400;0.910059621;0.5;0.631542081;0.25;1;0;05.01.2018 12:59
396000;1;0.5;0.634507452;0.25;1;0;05.01.2018 13:59
399600;1;0.5;0.630559264;0.25;1;0;05.01.2018 14:59
403200;0.988397342;0;0.626655883;0.25;1;0;05.01.2018 15:59
406800;0.989893457;0;0.627627568;0.25;1;0;05.01.2018 16:59
410400;0.997624462;0;0.622796574;0.25;0;1;05.01.2018 17:59
414000;0.994805013;0;0.617088675;0.25;0;1;05.01.2018 18:59
417600;0.993983698;0;0.614270562;0.25;0;1;05.01.2018 19:59
421200;0.990164018;0;0.612404897;0.25;0;1;05.01.2018 20:59
424800;0.988196138;0;0.610549593;0.25;0;1;05.01.2018 21:59
428400;0.988699499;0;0.610549593;0.25;0;1;05.01.2018 22:59
432000;0.988774714;0;0.618033319;0.25;0;1;05.01.2018 23:59
435600;0.987905211;0;0.618033319;0.25;0;1;06.01.2018 00:59
439200;0.989243639;0;0.626655883;0.25;1;0;06.01.2018 01:59
442800;0.991905322;0;0.639506847;0.25;1;0;06.01.2018 02:59
446400;0.993126014;0;0.647657724;0.25;1;0;06.01.2018 03:59
450000;1;0;0.656001105;0.25;0;1;06.01.2018 04:59
453600;1;0;0.663464726;0.25;0;1;06.01.2018 05:59
457200;1;0;0.668891831;0.25;0;1;06.01.2018 06:59
460800;1;0;0.671085518;0.25;0;1;06.01.2018 07:59
464400;1;0;0.672187314;0.25;0;1;06.01.2018 08:59
468000;0.952998875;0;0.669987029;0.25;0;0;06.01.2018 09:59
471600;0.8560867;0;0.672187314;0.25;0;0;06.01.2018 10:59
475200;0.831452036;0;0.672187314;0.25;1;0;06.01.2018 11:59
478800;0.838962822;0;0.672187314;0.25;1;0;06.01.2018 12:59
482400;0.922960516;0;0.673292431;0.25;1;0;06.01.2018 13:59
486000;1;0;0.676627853;0;0;1;06.01.2018 14:59
489600;1;0;0.673292431;0.25;1;0;06.01.2018 15:59
493200;1;0;0.669987029;0.25;1;0;06.01.2018 16:59
496800;1;0;0.672187314;0.25;1;0;06.01.2018 17:59
500400;1;0;0.671085518;0.25;1;0;06.01.2018 18:59
504000;1;0;0.665625848;0.25;1;0;06.01.2018 19:59
507600;1;0;0.664543677;0.25;1;0;06.01.2018 20:59
511200;1;0;0.665625848;0.25;1;0;06.01.2018 21:59
514800;1;0;0.660247063;0.25;1;0;06.01.2018 22:59
