sec;CHP;Electrolysis;Heatpump;Boiler;Beladen TES;Entladen TES;date
352800;-1;-1;-1;-1;-1;-1;05.01.2018 02:00
356400;-1;-1;-1;-1;-1;-1;05.01.2018 03:00
360000;-1;-1;-1;-1;-1;-1;05.01.2018 03:59
363600;-1;-1;-1;-1;-1;-1;05.01.2018 04:59
367200;-1;-1;-1;-1;-1;-1;05.01.2018 05:59
370800;-1;-1;-1;-1;-1;-1;05.01.2018 06:59
374400;-1;-1;-1;-1;-1;-1;05.01.2018 07:59
378000;-1;-1;-1;-1;-1;-1;05.01.2018 08:59
381600;-1;-1;-1;-1;-1;-1;05.01.2018 09:59
385200;-1;-1;-1;-1;-1;-1;05.01.2018 10:59
388800;-1;-1;-1;-1;-1;-1;05.01.2018 11:59
392400;-1;-1;-1;-1;-1;-1;05.01.2018 12:59
396000;-1;-1;-1;-1;-1;-1;05.01.2018 13:59
399600;-1;-1;-1;-1;-1;-1;05.01.2018 14:59
403200;-1;-1;-1;-1;-1;-1;05.01.2018 15:59
406800;-1;-1;-1;-1;-1;-1;05.01.2018 16:59
410400;-1;-1;-1;-1;-1;-1;05.01.2018 17:59
414000;-1;-1;-1;-1;-1;-1;05.01.2018 18:59
417600;-1;-1;-1;-1;-1;-1;05.01.2018 19:59
421200;-1;-1;-1;-1;-1;-1;05.01.2018 20:59
424800;-1;-1;-1;-1;-1;-1;05.01.2018 21:59
428400;-1;-1;-1;-1;-1;-1;05.01.2018 22:59
432000;-1;-1;-1;-1;-1;-1;05.01.2018 23:59
435600;-1;-1;-1;-1;-1;-1;06.01.2018 00:59
439200;-1;-1;-1;-1;-1;-1;06.01.2018 01:59
442800;-1;-1;-1;-1;-1;-1;06.01.2018 02:59
446400;-1;-1;-1;-1;-1;-1;06.01.2018 03:59
450000;-1;-1;-1;-1;-1;-1;06.01.2018 04:59
453600;-1;-1;-1;-1;-1;-1;06.01.2018 05:59
457200;-1;-1;-1;-1;-1;-1;06.01.2018 06:59
460800;-1;-1;-1;-1;-1;-1;06.01.2018 07:59
464400;-1;-1;-1;-1;-1;-1;06.01.2018 08:59
468000;-1;-1;-1;-1;-1;-1;06.01.2018 09:59
471600;-1;-1;-1;-1;-1;-1;06.01.2018 10:59
475200;-1;-1;-1;-1;-1;-1;06.01.2018 11:59
478800;-1;-1;-1;-1;-1;-1;06.01.2018 12:59
482400;-1;-1;-1;-1;-1;-1;06.01.2018 13:59
486000;-1;-1;-1;-1;-1;-1;06.01.2018 14:59
489600;-1;-1;-1;-1;-1;-1;06.01.2018 15:59
493200;-1;-1;-1;-1;-1;-1;06.01.2018 16:59
496800;-1;-1;-1;-1;-1;-1;06.01.2018 17:59
500400;-1;-1;-1;-1;-1;-1;06.01.2018 18:59
504000;-1;-1;-1;-1;-1;-1;06.01.2018 19:59
507600;-1;-1;-1;-1;-1;-1;06.01.2018 20:59
511200;-1;-1;-1;-1;-1;-1;06.01.2018 21:59
514800;-1;-1;-1;-1;-1;-1;06.01.2018 22:59
518400;-1;-1;-1;-1;-1;-1;06.01.2018 23:59
522000;-1;-1;-1;-1;-1;-1;07.01.2018 00:59
525600;-1;-1;-1;-1;-1;-1;07.01.2018 01:59
529200;-1;-1;-1;-1;-1;-1;07.01.2018 02:59
532800;-1;-1;-1;-1;-1;-1;07.01.2018 03:59
536400;-1;-1;-1;-1;-1;-1;07.01.2018 04:59
540000;-1;-1;-1;-1;-1;-1;07.01.2018 05:59
543600;-1;-1;-1;-1;-1;-1;07.01.2018 06:59
547200;-1;-1;-1;-1;-1;-1;07.01.2018 07:59
550800;-1;-1;-1;-1;-1;-1;07.01.2018 08:59
554400;-1;-1;-1;-1;-1;-1;07.01.2018 09:59
558000;-1;-1;-1;-1;-1;-1;07.01.2018 10:59
561600;-1;-1;-1;-1;-1;-1;07.01.2018 11:59
565200;-1;-1;-1;-1;-1;-1;07.01.2018 12:59
568800;-1;-1;-1;-1;-1;-1;07.01.2018 13:59
572400;-1;-1;-1;-1;-1;-1;07.01.2018 14:59
576000;-1;-1;-1;-1;-1;-1;07.01.2018 15:59
579600;-1;-1;-1;-1;-1;-1;07.01.2018 16:59
583200;-1;-1;-1;-1;-1;-1;07.01.2018 17:59
586800;-1;-1;-1;-1;-1;-1;07.01.2018 18:59
590400;-1;-1;-1;-1;-1;-1;07.01.2018 19:59
594000;-1;-1;-1;-1;-1;-1;07.01.2018 20:59
597600;-1;-1;-1;-1;-1;-1;07.01.2018 21:59
601200;-1;-1;-1;-1;-1;-1;07.01.2018 22:59
604800;-1;-1;-1;-1;-1;-1;07.01.2018 23:59
608400;-1;-1;-1;-1;-1;-1;08.01.2018 00:59
612000;-1;-1;-1;-1;-1;-1;08.01.2018 01:59
615600;-1;-1;-1;-1;-1;-1;08.01.2018 02:59
619200;-1;-1;-1;-1;-1;-1;08.01.2018 03:59
622800;-1;-1;-1;-1;-1;-1;08.01.2018 04:59
626400;-1;-1;-1;-1;-1;-1;08.01.2018 05:59
630000;-1;-1;-1;-1;-1;-1;08.01.2018 06:59
633600;-1;-1;-1;-1;-1;-1;08.01.2018 07:59
637200;-1;-1;-1;-1;-1;-1;08.01.2018 08:59
640800;-1;-1;-1;-1;-1;-1;08.01.2018 09:59
644400;-1;-1;-1;-1;-1;-1;08.01.2018 10:59
648000;-1;-1;-1;-1;-1;-1;08.01.2018 11:59
651600;-1;-1;-1;-1;-1;-1;08.01.2018 12:59
