HOUR;E_th_RH_HH;E_th_TWE_HH;E_el_HH;E_th_RH_GHD;E_th_TWE_GHD;E_el_GHD;E_th_KL_GHD;E_th_loss
33300;246.4232545;107.5391605;33.5347429;147.0601865;0;5.767498881;0;0
34200;232.9081148;89.83184095;37.43325626;146.0515628;0;5.847557926;0;0
35100;258.9280893;81.81046791;38.09830215;144.6955271;0;5.920327944;0;0
36000;276.0998746;66.15527883;36.42230581;143.5230448;0;5.971794751;0;0
36900;282.3423499;64.6929324;38.06440919;142.468971;0;5.976063521;0;0
37800;272.6249913;78.09519705;38.97264448;141.5946382;0;5.927995588;0;0
38700;264.8771568;84.87114811;42.0403455;140.653932;0;5.862857265;0;0
39600;276.0078529;103.8876068;45.28898537;139.7088382;0;5.777439371;0;0
40500;270.6733891;67.92986802;44.06851786;139.0645253;0;5.690182085;0;0
41400;281.1725347;36.51200234;42.5177503;138.2020648;0;5.609163743;0;0
42300;278.1984722;47.29914035;43.83179754;137.6565639;0;5.536607539;0;0
43200;274.1157749;55.92154783;43.92750005;137.1568731;0;5.505534543;0;0
44100;271.8041097;55.03794015;43.92963956;136.840881;0;5.504349432;0;0
45000;256.0166809;46.55981568;41.38413527;136.7181525;0;5.532199839;0;0
45900;259.4669493;36.148621;38.73692779;136.6571711;0;5.587577438;0;0
46800;260.8837247;39.38298642;37.81845352;136.8850265;0;5.662802637;0;0
47700;256.2089967;45.99246559;37.2733357;136.4435276;0;5.734325671;0;0
48600;251.6796159;40.77292461;36.28386323;137.1498533;0;5.799613787;0;0
49500;241.3277529;44.8831968;33.96354922;137.6101676;0;5.872120044;0;0
50400;241.8695344;45.34706994;31.38950859;138.2168034;0;5.925017922;0;0
51300;239.3286806;46.61897977;30.68220445;135.962425;0;5.972784813;0;0
52200;235.3391372;40.18060447;33.16811895;136.7639772;0;5.997904057;0;0
53100;234.3300423;36.07348194;36.24149706;137.334772;0;6.024153305;0;0
54000;229.2303004;53.93087133;39.37420349;137.7261069;0;6.020135828;0;0
54900;225.2888691;78.89780989;42.84342859;134.4852812;0;6.002652303;0;0
55800;222.4806891;49.6036558;42.0663724;135.2414125;0;5.990247721;0;0
56700;217.7399076;38.28752025;40.74353593;135.8632059;0;5.994277938;0;0
57600;217.0610804;39.84674777;39.23813371;135.819978;0;6.057605016;0;0
58500;216.9969589;36.54250603;40.9551895;132.7166194;0;6.179822955;0;0
59400;212.4031798;35.10935793;42.50645425;133.2787217;0;6.350549936;0;0
60300;211.5275915;28.54522248;41.40021561;134.0010403;0;6.494637619;0;0
61200;210.4530433;31.7214491;41.25283212;134.0137223;0;6.58982031;0;0
62100;210.3512823;65.74014625;40.63247559;132.3499009;0;6.561514055;0;0
63000;205.6627521;77.18932682;42.4329662;132.8740518;0;6.440340051;0;0
63900;209.3341559;52.94502255;45.44123782;133.7614649;0;6.300520743;0;0
64800;217.2984022;35.73443057;49.52593402;133.9616294;0;6.183526403;0;0
65700;216.2501826;31.20653991;48.5599971;133.6399723;0;6.139075157;0;0
66600;220.3242904;47.12954118;48.23902936;133.7169181;0;6.156451725;0;0
67500;216.4036587;41.03989565;48.73703963;134.1583847;0;6.183873221;0;0
68400;220.2391541;32.48622806;47.58970801;134.2116365;0;6.17048665;0;0
69300;223.9106619;25.3537021;46.49008321;137.3369248;0;6.073882146;0;0
70200;221.9119238;19.15803365;44.94113644;137.3144957;0;5.915458866;0;0
71100;222.7544148;23.15327346;42.2906771;137.8488482;0;5.727505209;0;0
72000;223.219907;23.61318656;39.4832358;138.1173439;0;5.583803427;0;0
72900;223.1884253;17.46886899;37.50814596;143.2540272;0;5.50322607;0;0
73800;227.0014477;17.1453248;35.75696087;143.3236962;0;5.481677318;0;0
74700;223.6206911;28.65274313;36.09105258;143.7539118;0;5.483689341;0;0
75600;224.2563518;44.18120467;35.64970695;144.9235989;0;5.465273628;0;0
76500;224.2160635;62.93280438;34.79473696;149.414483;0;5.408478339;0;0
77400;224.1708594;32.27743512;32.47330148;150.0456786;0;5.318897446;0;0
78300;226.3873856;19.27419962;31.14035751;150.4791273;0;5.213960994;0;0
79200;227.5920358;16.37469637;29.55310057;151.778051;0;5.121621557;0;0
80100;226.0335794;26.83299632;27.5376518;154.6305633;0;5.083197786;0;0
81000;229.4333391;29.24329511;26.15217928;155.4332943;0;5.063530695;0;0
81900;230.0396531;15.21468935;24.94650654;155.7835907;0;5.053199143;0;0
82800;224.7092377;8.687837021;23.8641078;156.7993566;0;5.054996315;0;0
83700;213.5852597;5.580787139;22.22968121;157.6907889;0;5.043144438;0;0
84600;223.3104712;4.282638626;21.06293812;158.2327467;0;5.030393976;0;0
85500;228.1336748;7.891923389;20.67712875;158.3006521;0;5.016025788;0;0
86400;245.6190794;8.566910627;20.92307138;158.6915402;0;5.008541071;0;0
87300;242.5974433;7.084852478;20.71247168;158.9492805;0;5.01489934;0;0
88200;243.3571995;9.645802661;19.53820094;159.3087255;0;5.013113748;0;0
89100;242.1153425;5.906451747;19.06485899;159.4303299;0;5.01633446;0;0
90000;249.1674249;3.351548668;19.18100098;159.5613921;0;5.003379369;0;0
90900;251.5445547;2.983671153;19.30941595;159.6925247;0;4.96809797;0;0
91800;255.8701732;2.310989333;19.30605263;159.7846186;0;4.917287739;0;0
92700;251.1485309;1.632336891;19.13999324;159.8098019;0;4.849365516;0;0
93600;251.2148572;2.233694598;18.59093174;159.8777597;0;4.755230611;0;0
94500;249.1251952;4.459230587;18.70757745;159.0630261;0;4.655058108;0;0
95400;250.5052469;4.190178445;18.79731575;159.3782505;0;4.597897336;0;0
